Date,Temperature AVG,Wind Speed Daily AVG
7/29/2015,46.39625,3.945041667
7/28/2015,40.95583333,7.499333332999999
7/27/2015,33.30333333,7.444625
7/26/2015,27.265,5.009375
7/25/2015,29.43291667,33.001875
7/24/2015,39.98208333,19.50670833
7/23/2015,38.75666667,5.683125
7/22/2015,38.8725,4.6595833330000005
7/21/2015,41.5075,23.71208333
7/20/2015,49.15458333,8.580916667
7/19/2015,49.7325,3.9822916669999997
7/18/2015,43.04166667,6.003458332999999
7/17/2015,38.33166667,6.444208333
7/16/2015,39.01,5.761708333
7/15/2015,39.54875,4.6205
7/14/2015,37.98625,2.382125
7/13/2015,32.21958333,11.55325
7/12/2015,33.37666667,24.12541667
7/11/2015,40.66333333,21.65779167
7/10/2015,47.20208333,4.892166667
7/9/2015,48.76583333,3.8235416669999998
7/8/2015,47.46291667,5.416041667000001
7/7/2015,48.91333333,3.00025
7/6/2015,45.18541667,16.93216667
7/5/2015,47.63541667,2.864833333
7/4/2015,54.94875,1.358333333
7/3/2015,55.1375,0.753458333
7/2/2015,51.54416667,9.233416667
7/1/2015,53.84916667,4.410291667
6/30/2015,48.49208333,2.755416667
6/29/2015,48.94125,11.08508333
6/28/2015,55.05083333,8.242
6/27/2015,54.57583333,18.14608333
6/26/2015,53.75416667,13.615125
6/25/2015,49.23875,5.079166667
6/24/2015,39.39958333,9.057708332999999
6/23/2015,38.03375,5.631583332999999
6/22/2015,31.41125,13.34379167
6/21/2015,33.59208333,19.79295833
6/20/2015,35.0875,2.47725
6/19/2015,31.90166667,9.339041667
6/18/2015,33.13291667,29.12291667
6/17/2015,40.29708333,9.701375
6/16/2015,38.61666667,9.260916667
6/15/2015,35.51375,7.011958333
6/14/2015,32.69458333,2.7260000000000004
6/13/2015,31.21583333,1.7863333330000002
6/12/2015,39.88916667,14.657875
6/11/2015,46.22875,19.002875
6/10/2015,48.69,4.309125
6/9/2015,48.62875,9.727375
6/8/2015,52.22875,13.1705
6/7/2015,53.21166667,3.1011666669999998
6/6/2015,47.80666667,3.136458333
6/5/2015,38.94666667,5.9370833329999995
6/4/2015,34.46166667,4.006708333
6/3/2015,29.01333333,2.220333333
6/2/2015,25.92333333,8.679666667000001
6/1/2015,32.82458333,10.558625
5/31/2015,38.96666667,26.49375
5/30/2015,40.17125,9.813375
5/29/2015,36.655,24.68633333
5/28/2015,37.57708333,7.06175
5/27/2015,34.4575,4.211208333
5/26/2015,31.53666667,3.442375
5/25/2015,32.7775,2.176375
5/24/2015,35.50541667,4.602791667
5/23/2015,35.88083333,7.274916667
5/22/2015,33.09125,6.95925
5/21/2015,33.50083333,8.0455
5/20/2015,32.22541667,16.36125
5/19/2015,31.2,11.31595833
5/18/2015,29.47333333,6.361583333
5/17/2015,28.76875,5.22225
5/16/2015,31.28083333,3.632791667
5/15/2015,31.08541667,1.597666667
5/14/2015,26.23875,2.066375
5/13/2015,25.05958333,4.398875
5/12/2015,24.37416667,12.299000000000001
5/11/2015,26.6925,14.55358333
5/10/2015,32.15916667,3.512
5/9/2015,31.01416667,3.497208333
5/8/2015,28.24208333,6.912000000000001
5/7/2015,25.24708333,10.208875
5/6/2015,14.94666667,11.02745833
5/5/2015,11.51416667,27.31258333
5/4/2015,24.45458333,42.57208333
5/3/2015,26.31958333,15.22170833
5/2/2015,30.66458333,6.0655
5/1/2015,30.19708333,31.02083333
4/30/2015,31.68375,14.787375
4/29/2015,19.84541667,17.22995833
4/28/2015,28.88166667,54.32083333
4/27/2015,32.37291667,15.32033333
4/26/2015,21.72125,6.800083333
4/25/2015,10.92091667,12.03766667
4/24/2015,9.032041667,42.71291667
4/23/2015,18.64516667,32.89291667
